"album","song","lyric"
"College Dropout","Intro",". . . . Kanye, can I talk to you for a minute?. . Me and the other faculty members was wonderin could you do a lil som.... . Somethin beautiful. . Somethin that the kids is gon love when they hear it. . Thas gon make them start jumpin up and down and sharin candy an' stuff. . Think you could probably do somethin for the kids for graduation to sing?. "
"College Dropout","We Don't Care",". . . . . . And all my people thats drug dealin jus to get by stack ya money till it gets sky high. . We wasnt supposed to make it past 25 but the jokes on you we still alive. . Throw your hands up in the sky and say we don't care what people say. . If this is your first time hearing this . . You are about to experience something cold man. . We never had nothing handed took nothing for granted. . Took nothing from no man, man i'm my own man. . But as a shorty i looked up to the dopeman. . Only adult man i knew that wasnt a broke man. . Flickin starter coats man, Man you ount no man. . We don't care what people say. . This is for my niggas outside all winter. . Cuz this summer they aint finna to say next summer im finna. . Sittin in the hood like community colleges. . This dope money here is Lil Treys scholarship. . Cause aint no to tuition for havin no ambition. . And aint no loans for sittin your ass at home. . So we forced to sell crack rap and get a job. . You gotta do something man your ass is grown. . Drug dealin jus to get by stack ya money till it gets sky high. . Kids Sing Kids Sing. . We wasnt supposed to make it past 25 but the jokes on you we still alive. . Throw your hands up in the sky and say we don't care what people say. . The second verse is for my dogs working 9 to 5. . That still hustle cause a nigga can't shine off $6.55. . And everybody selling make-up, Jacobs. . And bootleg tapes just to get they cake up. . We put shit on layaway then come back. . We claim other people kids on our income tax. . We take that money cop work than push packs to get paid. . And we don't care what people say. . Momma say she wanna move south . . Scratchin lottery tickets Eyes on a new house. . Around the same time Doe ran up in dudes house . . Couldnt get a job. . So since he couldnt get work he figured hed take work. . The drug game bolemic its hard to get weight. . So niggas money is homo its hard to get straight. . So we gon keep baking to the day we get cake.. . And we dont care what people say . . My Niggas . . Drug dealin jus to get by stack ya money till it gets sky high. . Kids Sing Kids Sing. . We wasnt supposed to make it past 25 but the jokes on you we still alive. . Throw your hands up in the sky and say we don't care what people say. . You know the kids gonna act a fool. . When you stop the programs for after school. . And they DCFS them some of them dislecsic. . They favorite 50 Cent song's 12 Questions. . We scream, rock, blows, weed park . . so now we smart. . We aint retards the way teachers thought. . Hold up hold fast we make mo'cash. . Now tell my momma i belong in the slow class . . It's bad enough we on welfare. . You trying to put me on the school bus with the space for the wheel chair. . Im trying to get the car with the chromy wheels here. . You tryin to cut our lights like we dont live here. . Look at whats handed us our fatheres abandoned us. . When we get the hammers gone and call the ambulance. . Sometimes i feel no one in this world understands us. . But we dont care what people say. . My Niggas. . drug dealin jus to get by stack ya money till it gets sky high. . Kids Sing Kids Sing. . We wasnt supposed to make it past 25 but the jokes on you we still alive. . Throw your hands up in the sky and say we don't care what people say. "
"College Dropout","Graduation Day",". . . . What in the fuck was that Kanye. . I told you to do some shit for the kids. . You can give me your muthafucking graduation ticket right now. . You will not walk across that stage, you won’t slide across that stage. . A muthafucka can’t pull you across that stage Kanye. . Who told you see, I told you to do something up lifting. . I’m trynna get you out here with these white people and this how you gone do me. . You know what us a nigga. . And I don’t mean that in no nice way. . Had little kids sing about the shit, the jokes on you. . You throw your mutha hands in the air, and wave good-bye to everybody. . Cause you getting the fuck out of this campus. . Mutha what you gone do now. . I'm no longer confused but don't tell anybody.. . I'm about to break the rules but don't tell anybody.. . I got something better than school but don't tell anybody.. . My momma would kill me but don't anybody.. . she wants me to get a good ass job just like everybody. . . She ain'twalked in my shoes i'm just not everybody.. "
"College Dropout","All Falls Down",". . . . . . Oh when it all, it all falls down. . I'm telling you ohh, it all falls down. . Man I promise, she's so self conscious. . She has no idea what she's doing in college. . That major that she majored in don't make no money. . But she won't drop out, her parents will look at her funny. . Now, tell me that ain't insecurrre. . The concept of school seems so securrre. . Sophmore three yearrrs aint picked a careerrr. . She like fuck it, I'll just stay down herre and do hair. . Cause that's enough money to buy her a few pairs of new Airs. . Cause her baby daddy don't really care. . She's so precious with the peer pressure. . Couldn't afford a car so she named her daughter Alexus (a Lexus). . She had hair so long that it looked like weave. . Then she cut it all off now she look like Eve. . And she be dealing with some issues that you can't believe. . Single black female addicted to retail and well. . Man I promise, I'm so self conscious. . That's why you always see me with at least one of my watches. . Rollies and Pasha's done drove me crazy. . I can't even pronounce nothing, pass that versace!. . Then I spent 400 bucks on this. . Just to be like nigga you ain't up on this!. . And I can't even go to the grocery store. . Without some ones thats clean and a shirt with a team. . It seems we living the american dream. . But the people highest up got the lowest self esteem. . The prettiest people do the ugliest things. . For the road to riches and diamond rings. . We shine because they hate us, floss cause they degrade us. . We trying to buy back our 40 acres. . And for that paper, look how low we a'stoop. . Even if you in a Benz, you still a nigga in a coop/coupe. . I say fuck the police, thats how I treat em. . We buy our way out of jail, but we can't buy freedom. . We'll buy a lot of clothes when we don't really need em. . Things we buy to cover up what's inside. . Cause they make us hate ourself and love they wealth. . That's why shortys hollering ""where the ballas' at?"". . Drug dealer buy Jordans, crackhead buy crack. . And a white man get paid off of all of that. . But I ain't even gon act holier than thou. . Cause fuck it, I went to Jacob with 25 thou. . Before I had a house and I'd do it again. . Cause I wanna be on 106 and Park pushing a Benz. . I wanna act ballerific like it's all terrific. . I got a couple past due bills, I won't get specific. . I got a problem with spending before I get it. . We all self conscious I'm just the first to admit it. "
"College Dropout","I'll Fly Away",". . . . Some glad morning when this life is over,. . I'll fly away.. . To a home on God's celestial shore,. . I'll fly away.. . I'll fly away, O Glory,. . I'll fly away.. . When I die, Hallelujah, bye and bye,. . I'll fly away.. . When the shadows of this life have flown,. . I'll fly away.. . Like a bird thrown, driven by the storm,. . I'll fly away.. . I'll fly away, O Glory,. . I'll fly away.. . When I die, Hallelujah, bye and bye,. . I'll fly away.. . Just a few more weary days and then,. . I'll fly away.. . To a land where joy shall never end,. . I'll fly away.. . I'll fly away, O Glory,. . I'll fly away.. . When I die, Hallelujah, bye and bye,. . I'll fly away.. "
"College Dropout","Spaceship",". . . . . . I've been workin' this graveshift and I ain't made shit. . I wish I could buy me a spaceship and fly past the sky. . I've been workin' this graveshift and I ain't made shit. . I wish I could buy me a spaceship and fly past the sky. . Man, man, man. . If my manager insults me again I will be assaulting him. . After I fuck the manager up then I'm gonna shorten the register up. . Let's go back, back to the Gap. . Look at my check, wasn't no scratch. . So if I stole, wasn't my fault. . Yeah I stole, never got caught. . They take me to the back and pat me. . Askin' me about some khakis. . But let some black people walk in. . I bet they show off their token blackie. . Oh now they love Kanye, let's put him all in the front of the store. . Saw him on break next to the 'No Smoking' sign with a blunt and a Mall'. . Takin' my hits, writin' my hits. . Writin' my rhymes, playin' my mind. . This fuckin' job can't help him. . So I quit, y'all welcome. . Y'all don't know my struggle. . Y'all can't match my hustle. . You can't catch my hustle. . You can't fathom my love dude. . Lock yourself in a room doin' five beats a day for three summers. . That's a different world like Kree Summers. . I deserve to do these numbers. . The kid that made that deserves that Maybach. . So many records in my basement. . I'm just waitin' on my spaceship, blaow. . I've been workin' this graveshift and I ain't made shit. . I wish I could buy me a spaceship and fly past the sky. . I've been workin' this graveshift and I ain't made shit. . I wish I could buy me a spaceship and fly past the sky. . Man, I'm talkin' way past the sky. . Let's go, yeah. . And I didn't even try to work a job. . Represent the mob. . At the same time thirsty on the grind. . Chi state of mind. . Lost my momma, lost my mind. . +My life, my love+ that's not mine. . Why you ain't signed?. . Wasn't my time. . Leave me alone, work for y'all. . Half of it's yours, half of it's mine. . Only one to ball. . Never one to fall. . Gotta get mine. . Gotta take mine. . Got a tech nine. . Reach my prime. . Gotta make these haters respect mine. . In the mall 'til 12 when my schedule said nine. . Puttin' them pants on shelves. . Waitin' paitently I ask myself. . Where I wanna go, where I wanna be. . Life is much more than runnin' in the streets. . Holla at 'ye, hit me with the beat. . Put me on my feet. . Sound so sweet. . Yes I'm the same ol' G, same goatee. . Stayin' low key, nope. . Holler at God ""Man why'd you had to take my folks?"". . Hope to see Freddy G., Yusef G. . Love my G, Rolly G. . Police watch me smoke my weed, count my G's. . Got a lot of people countin' on me. . And I'm just tryin' to find my peace. . Should of finished school like my niece. . Then I wouldn't finally wouldn't use my piece, blaow. . Aw man, all this pressure. . I've been workin' this graveshift and I ain't made shit. . I wish I could buy me a spaceship and fly past the sky. . I've been workin' this graveshift and I ain't made shit. . I wish I could buy me a spaceship and fly past the sky. . I remember havin' to take the dollar cab. . Comin' home real late at night. . Standin' on my feet all damn day. . Tryin' to make this thing right. . And havin' one of my co-workers say ""Yo you look just like. . This kid I seen in the old Busta Rhymes video the other night"". . Well easy come, easy go. . How that sayin' goes. . No more broad service, cars, and them TV shows. . I all had that snatched from me. . And all the faculties all turn their back on me. . And didn't wanna hear a rap from me. . So naturally actually had to face things factually. . Had to be a catastrophe with the fridgest starin' back at me. . Cuz nothing's there, nothing's fair. . I don't wanna ever go back there. . So I won't be takin' no days off 'til my spaceship takes off. . I've been workin' this graveshift and I ain't made shit. . I wish I could buy me a spaceship and fly past the sky. . I've been workin' this graveshift and I ain't made shit. . I wish I could buy me a spaceship and fly past the sky. . I wanna fly, I wanna fly. . I said I want my chariot to pick me up. . And take me brother for a ride. "
"College Dropout","Jesus Walks",". . . . Yo, we at war. We at war with terrorism, racism, and most of all we at war with ourselves. (Jesus walks). God show me the way because the Devil trying to break me down. (Jesus walks with me) with me, with me, with me . You know what the Midwest is?. Young & Restless. Where restless (niggas) might snatch your necklace. And next these (niggas) might jack your Lexus. Somebody tell these (niggas) who Kanye West is. I walk through the valley of the shadow of death is. Top floor the view alone will leave you breathless Uhhhh!. Try to catch it Uhhhh! It's kinda hard. Getting choked by the detectives yeah yeah now check the method. They be asking us questions, harass and arrest us. Saying, ""We eat pieces of shit like you for breakfast."". Huh? Y'all eat pieces of shit? What's the basis?. We ain't going nowhere but got suits and cases. A trunk full of coke rental car from Avis. My mamma used to say only Jesus can save us. Well mamma I know I act a fool. But I'll be gone 'til November I got packs to move I Hope. (Jesus walks). God show me the way because the Devil trying to break me down. (Jesus walks with me). The only thing that that I pray is that my feet don't fail me now. (Jesus walks). And I don't think there is nothing I can do now to right my wrongs. (Jesus walks with me). I want to talk to God but I'm afraid because we ain't spoke in so long. To the hustlers, killers, murderers, drug dealers even the strippers. (Jesus walks with them). To the victims of Welfare for we living in hell here hell yeah. (Jesus walks with them). Now hear ye hear ye want to see Thee more clearly. I know he hear me when my feet get weary. Cause we're the almost nearly extinct. We rappers are role models we rap we don't think. I ain't here to argue about his facial features. Or here to convert atheists into believers. I'm just trying to say the way school need teachers. The way Kathie Lee needed Regis that's the way I need Jesus. So here go my single dog radio needs this. They say you can rap about anything except for Jesus. That means guns, sex, lies, video tapes. But if I talk about God my record won't get played Huh?. Well if this take away from my spins. Which will probably take away from my ends. Then I hope this take away from my sins. And bring the day that I'm dreaming about. Next time I'm in the club everybody screaming out. (Jesus walks). God show me the way because the devil trying to break me down. (Jesus walks). The only thing that that I pray is that my feet don't fail me now. (Jesus walks). And I don't thing there's nothing I can do now to right my wrongs. (Jesus walks with me... fades). I want to talk to God but I'm afraid because we ain't spoke in so long. "
"College Dropout","Never Let Me Down",". . . . . . Yeah Grandmama. . Told you I won't let you down. . Told you I won't let this rap game change me, right?. . When it comes to being true, at least true to me. . One thing I found,one thing I found. . Oh no you'll neva let me down,. . Get up I get(down). . Get up I get(down). . Get up I get(down). . Get up I get(down). . Get up I get(down). . Get up I get(down). . Yo, yo first I snatched the street then I snatched the charts,. . First had they ear now I hav they're heart,. . Rappers came and went,. . I've been hear from the start,. . Seen them put it together. . Watch them take it apart,. . See the Rovers roll up wit ribbons. . I've seen them re-poed, re-sold and re-driven. . So when I reload, he holds #1 position. . When u hot I'm hot. . And when your feet cold, mines is sizzelin. . It's plain to see. . Nigga's can't f*** wit me. . Cuz ima be that nigga fo life. . This is not an image. . This is God given. . This is hard liven. . Mixed wit crystal sipping. . It's the most consistent. . Hov. . Give you the most hits you can fit inside a whole disc and. . Nigga I'm home on these charts, y'all niggaz visitin. . It's Hov tradition, Jeff Gordan of rap. . I'm back to claim pole position, holla at ya boy. . I get down for my grandfather who took my momma. . Made her sit that seat where white folks ain't wanna us to eat. . At the tender age of 6 she was arrested for the sit in. . With that in my blood I was born to be different. . Now niggas can't make it to ballots to choose leadership. . But we can make it to Jacob and to the dealership. . That's why I hear new music. . And I just don't be feeling it. . Racism still alive they just be concealing it. . But I know they don't want me in the damn club. . They even made me show I.D to get inside of Sam's club. . I did dirt and went to church to get my hands scrubbed. . Swear I've been baptised at least 3 or 4 times. . But in the land where nigga's praise. . Yukons and getting paid. . It gon' take a lot more than coupons to get us saved. . Like it take a lot more than do-rags to get your waves. . Noting sadder than that day my girl father past away. . So I promised to Mr Rany I'm gonna marry your daughter. . And u know I gotta thank u for they way that she was brought up. . And I know that u were smiling when u see that car I bought her. . And u sent tears from heaven when u seen my car get balled up. . But I can't complaint what the accident did to my Left Eye. . Cuz look what a accident did to Left Eye. . First Aaliyah and now romeo must die. . I know a got angels watching me from the other side. . We are all here for a reason on a particular path. . You don't need a curriculum to know that you are part of the math. . Cats think I'm delirious, but I'm so damn serious. . That's why I expose my soul to the globe, the world. . I'm trying to make it better for these little boys and girls. . I'm not just another individual, my spirit is a part of this. . That's why I get spiritual, but I get my hymns from Him. . So it's not me, it's He that's lyrical. . I'm not a miracle, I'm a heaven-sent instrument. . My rhythmatic regimen navigates melodic notes for your soul and your mental. . That's why I'm instrumental. . Vibrations is what I'm into. . Yeah, I need my loot by rent day. . But that is not what gives me the heart of Kunte Kinte. . I'm tryina give us ""us free"" like Cinque. . I can't stop, that's why I'm hot. . Determination, dedication, motivation. . I'm talking to you, my many inspirations. . When I say I can't, let you or self down. . If I were of the highest cliff, on the highest riff. . And you slipped off the side and clinched on to your life in my grip. . I would never, ever let you down. . And when these words are found. . Let it been known that God's penmanship has been signed with a language called love. . That's why my breath is felt by the deaf. . And why my words are heard and confined to the ears of the blind. . I, too, dream in color and in rhyme. . So I guess I'm one of a kind in a full house. . Cuz whenever I open my heart, my soul, or my mouth. . A touch of God reigns out. . Who else you know been hot this long,. . (Oh Ya, you know we ain't finished). . Started from nothing but he got this strong,. . (The ROC is in the building). . Built the ROC from a pebble, pedalled rock before I met you,. . Pedalled bikes, got my nephews pedal bikes because they special,. . Let you tell that man I'm falling,. . Well somebody must've caught him,. . Cause every fourth quarter, I like to Mike Jordan 'em,. . Number one albums, what I got like four of dem,. . More of dem on the way,. . The Eight Wonder on the way,. . Clear the way, I'm here to stay,. . Y'all can save the chitter chat, this and that, this and Jay,. . Dissin' Jay 'ill get you mased,. . When I start spitting them lyrics, niggas get very religious,. . Six Hail Maries, please Father forgive us,. . Young, the Archbishop, the Pope John Paul of y'all niggas,. . The way y'all all follow Jigga,. . Hov's a living legend and I tell you why,. . Everybody wanna be Hov and Hov still alive.. "
"College Dropout","Get Em High",". . . . . I'm trying to catch the beat, uh. I'm trying to catch the beat. I'm trying to catch the beat, uh uh, uh. I'm trying to catch the beat. Now, throw your motherfucking hands. GET 'EM HIGH. All the girls pass the weed to your motherfucking man. GET 'EM HIGH. Now I ain't never tell you to put down your hands. KEEP 'EM HIGH. And if your losing your high then* smoke again. KEEP 'EM HIGH. Now, my flow. Is in the pocket like wallets, I got the bounce like hydraulics. I can't call it, I got the swerve like alcoholics. My freshman year I was going through hella problems. 'til I built up the nerve to drop my ass up outta college. My teacher said I'm a loser, I told her why don't you kill me. I give a fuck if you fail me, I'm gonna follow my heart,. And if you follow the charts, or the plaques or the stacks. You ain't gotta guess who's back,. You see I'm so Chi that you thought it was bashful. But this bastard's flow will bash a skull. And I will cut your girl like Pastor Troy. And I don't usually smoke but pass the 'dro. And I won't give you that money that you asking for. Why you think me and Dame cool? We're assholes!. That's why we hear your music in fast forward. 'Cause we don't wanna hear that weak shit no more. Now who the hell is this?. E-mailing me at 11:26, telling me that she 36-26, plus double D. You know how girls on black planet be when they get bubbly. At NYU but she hail from Kansas, right now she just lampin, chilling on campus. Sent me a picture with her feeling on Candice. Who said her favorite rapper was the late great Francis. W-H-I-T, it's getting late mami, your screen saver say tweet. So you got to call me, and bring a friend for my friend. His name Kweli. (You mean Talib, lyrics stick to your rib). I mean. (That's my favorite CD that I play in my crib). I mean. (You don't really know him, why is you lying). You Kwe, she don't believe me, please pick up the line. She's gonna think that I'm lying, just spit a couple of lines. Then maybe I'll be able to give her dick all the time, and get her high. Yeah, I can't believe this nigga use my name for picking up dimes. But never mind, I need some tracks you trying to pull tracks out. And my rhymes is finna blow you trying to blow backs out. Well OK, you twisted my arm, I'll assist with the charm, aiyyo. Ain't you meet that chick at that conference with your mom?. She's the bomb, but she got the boujee behavior. Always got something to say like an OK player hater. Anyway, I don't usually fuck with the Internet. Or chicks on Birth Control stuck to they arm like Nicorette. You really fucking that much, you trying to get off cigarettes. And she think it's fly, she ain't met a real nigga yet. I apologize if I come off a little inconsiderate. I got the bubble kush and a sister could get a hit of it. Get 'em high like noon, or the moon or room filled with smoke. A high filled with dope. You all assumed I was doomed, out of tune, but I still feel the notes. The real nigga quotes. Real rappers is hard to find like a remote control,. Rap is not a used to but still got love,. That's why I abuse you who are not thugs. Rock clubs, it's like Tiger Woods in the hood, to have my own reality show. Called Soul Survivor, I stole all liver, niggas in you. You's a bitch I got ones that are thicker than you. How could I ever let your words affect me, they say Hip-Hop is dead. I'm here to resurrect me, mosh is too sexy to even make songs like these. That's why the raw don't know your name, like Alicia Keys. Too many featured MCs, and producers is popular. Twelve thousand spins, nobody got to copping her. Album, how come, you the hot garbage of. The year, It's clear your image is snooped up. Label got you souped up, telling you you're sick. Man you a dick with a loose nut. Video hard to watch like Medusa. Even your club record need a booster. Chimped up, with a pimp cup, illiterate nigga. Read the infa, red across your head Imma bred King like Simba. Boulder then Denver, I ain't a Madd Rapper just a MC with a temper. You dancing for money like honey, I did this my way. So when the industry crash, I survive like Kanye. Spitting through wires and fires, MCs retiring. Got your hands up, get them motherfuckers higher then. "
"College Dropout","Workout Plan",". . . . . . Ay Wussup gurl. . Heyy gurl . . Hey How u doin'?. . Ay you know i finally got my shit together been watchin that workout plan gurl!!. . Well you lookin' all good and stuff you got you a-. . Gurl i know it's that workout. . Got you a six pack shakuar and stuff. . Don't say it. . my nigga my nigga i'm tired of puttin 1-8-7 in my niggas pager that shit aint workin' no more. . Gurl you know i'ma video hofesional now (Gurl) since i copped this new workout plan my shit. . is right rollin' in lexus, acruasss everything gurll. . Gurl u need to let me know where i can cop that how much is it?. . Gurl you know you ain't gotta pay nuttin' around me i'm tha bootleg queeen i'll give it to. . you for free.99. . FREE.99!!. . That's my dawg you always lookin out for us. . My nigga now i can throw away my bus pass and shit oh my God. . Oh shit. "
