"Y" "school" "LRT" "VR.1" "VR.2" "Gender" "School.gender.1" "School.gender.2" "School.denom.1" "School.denom.2" "School.denom.3"
"1" -0.6058763 "1" -10.6193 0 0 1 0 0 0 0 0
"2" 0.9911532 "1" 8.3807 1 0 1 0 0 0 0 0
"3" -1.5640939 "1" -12.6193 0 0 0 0 0 0 0 0
"4" 0.112787 "1" 14.3807 0 1 1 0 0 0 0 0
"5" 0.7515988 "1" 9.3807 1 0 0 0 0 0 0 0
"6" 0.5918959 "1" 2.3807 0 1 1 0 0 0 0 0
"7" 0.7515988 "1" 9.3807 0 1 1 0 0 0 0 0
"8" -1.0849851 "1" -7.6193 0 1 0 0 0 0 0 0
"9" -1.8036484 "1" -4.6193 0 1 0 0 0 0 0 0
"10" 1.3904106 "1" 0.3807 0 1 1 0 0 0 0 0
"11" 0.9113018 "1" 2.3807 0 1 0 0 0 0 0 0
"12" 0.4321929 "1" -3.6193 0 1 1 0 0 0 0 0
"13" 1.1508562 "1" 4.3807 0 1 0 0 0 0 0 0
"14" -0.3663218 "1" -1.6193 0 1 0 0 0 0 0 0
"15" 1.5501135 "1" 14.3807 1 0 1 0 0 0 0 0
"16" -0.2066189 "1" -10.6193 0 1 0 0 0 0 0 0
"17" 0.3523414 "1" 6.3807 0 1 1 0 0 0 0 0
"18" 0.4321929 "1" 14.3807 1 0 1 0 0 0 0 0
"19" -0.9252821 "1" -4.6193 0 1 1 0 0 0 0 0
"20" 1.0710047 "1" 1.3807 0 1 0 0 0 0 0 0
"21" -0.3663218 "1" -9.6193 0 1 0 0 0 0 0 0
"22" -0.1267674 "1" -7.6193 0 1 0 0 0 0 0 0
"23" -1.244688 "1" -1.6193 0 1 0 0 0 0 0 0
"24" -0.2864704 "1" -7.6193 0 1 1 0 0 0 0 0
"25" -0.4461733 "1" 14.3807 0 1 1 0 0 0 0 0
"26" -0.5260248 "1" -14.6193 0 1 0 0 0 0 0 0
"27" 0.1926385 "1" 11.3807 1 0 1 0 0 0 0 0
"28" -1.4842425 "1" -18.6193 0 0 0 0 0 0 0 0
"29" 1.1508562 "1" 10.3807 1 0 1 0 0 0 0 0
"30" -0.2066189 "1" 15.3807 1 0 0 0 0 0 0 0
"31" -1.404391 "1" -9.6193 0 0 0 0 0 0 0 0
"32" -0.6857277 "1" -22.6193 0 0 1 0 0 0 0 0
"33" 0.112787 "1" 19.3807 1 0 0 0 0 0 0 0
"34" 0.27249 "1" 10.3807 0 1 1 0 0 0 0 0
"35" 1.1508562 "1" 5.3807 0 1 1 0 0 0 0 0
"36" 0.112787 "1" -1.6193 0 1 0 0 0 0 0 0
"37" -0.5260248 "1" 10.3807 0 1 1 0 0 0 0 0
"38" 0.3523414 "1" 1.3807 0 1 1 0 0 0 0 0
"39" 1.1508562 "1" -6.6193 0 1 1 0 0 0 0 0
"40" 0.27249 "1" -13.6193 0 1 0 0 0 0 0 0
"41" -0.1267674 "1" -7.6193 0 1 1 0 0 0 0 0
"42" 0.5120444 "1" -3.6193 0 1 0 0 0 0 0 0
"43" 0.5120444 "1" 16.3807 0 1 0 0 0 0 0 0
"44" 0.9113018 "1" 8.3807 1 0 0 0 0 0 0 0
"45" 0.9113018 "1" 1.3807 1 0 1 0 0 0 0 0
"46" -1.0051336 "1" -0.6193 0 1 0 0 0 0 0 0
"47" 0.1926385 "1" 6.3807 0 1 1 0 0 0 0 0
"48" -0.5260247 "2" -13.6193 0 0 1 0 0 1 0 0
"49" -0.6857277 "2" -8.6193 0 1 0 0 0 1 0 0
"50" -0.9252821 "2" -20.6193 0 0 1 0 0 1 0 0
"51" 0.4321929 "2" -2.6193 0 1 1 0 0 1 0 0
"52" 0.2724899 "2" 13.3807 1 0 1 0 0 1 0 0
"53" 0.7515988 "2" 3.3807 0 1 1 0 0 1 0 0
"54" -0.5260247 "2" -8.6193 0 1 1 0 0 1 0 0
"55" -0.3663218 "2" 8.3807 1 0 0 0 0 1 0 0
"56" -1.6439454 "2" -5.6193 0 1 0 0 0 1 0 0
"57" -1.5640939 "2" -12.6193 0 0 0 0 0 1 0 0
"58" 0.2724899 "2" 0.3807 0 1 1 0 0 1 0 0
"59" -1.4043909 "2" -22.6193 0 0 0 0 0 1 0 0
"60" 0.1926384 "2" -4.6193 0 1 1 0 0 1 0 0
"61" -1.1648365 "2" -34.6193 0 0 0 0 0 1 0 0
"62" -0.6058762 "2" -1.6193 0 1 1 0 0 1 0 0
"63" 1.8695194 "2" 18.3807 1 0 1 0 0 1 0 0
"64" 1.3904105 "2" 16.3807 1 0 0 0 0 1 0 0
"65" -1.7237968 "2" -12.6193 0 1 1 0 0 1 0 0
"66" -1.244688 "2" 8.3807 0 1 1 0 0 1 0 0
"67" 2.6680341 "2" 20.3807 1 0 1 0 0 1 0 0
"68" -1.3245395 "2" -24.6193 0 0 0 0 0 1 0 0
"69" -1.3245395 "2" -11.6193 0 1 0 0 0 1 0 0
"70" -0.8454306 "2" -9.6193 0 0 1 0 0 1 0 0
"71" -0.2066188 "2" -3.6193 0 1 0 0 0 1 0 0
"72" -1.0051336 "2" -3.6193 0 1 1 0 0 1 0 0
"73" 0.4321929 "2" -2.6193 0 1 0 0 0 1 0 0
"74" -0.3663218 "2" -3.6193 0 1 0 0 0 1 0 0
"75" -0.1267674 "2" 4.3807 0 1 1 0 0 1 0 0
"76" -1.1648365 "2" -1.6193 0 1 0 0 0 1 0 0
"77" -2.0432027 "2" -17.6193 0 0 0 0 0 1 0 0
"78" 0.5120443 "2" -2.6193 0 1 1 0 0 1 0 0
"79" 1.1508561 "2" 15.3807 1 0 0 0 0 1 0 0
"80" -0.5260247 "2" -19.6193 0 0 0 0 0 1 0 0
"81" 0.7515988 "2" -2.6193 1 0 0 0 0 1 0 0
"82" -0.3663218 "2" -2.6193 0 1 0 0 0 1 0 0
"83" 0.112787 "2" 10.3807 0 1 1 0 0 1 0 0
"84" -0.1267674 "2" 3.3807 0 1 1 0 0 1 0 0
"85" 1.2307076 "2" 35.3807 1 0 1 0 0 1 0 0
"86" 1.470262 "2" 5.3807 1 0 1 0 0 1 0 0
"87" 1.2307076 "2" 12.3807 0 1 0 0 0 1 0 0
"88" 1.3105591 "2" -13.6193 0 1 1 0 0 1 0 0
"89" 0.6717473 "2" 16.3807 1 0 1 0 0 1 0 0
"90" -1.3245395 "2" -23.6193 0 0 1 0 0 1 0 0
"91" -0.3663218 "2" -5.6193 0 1 1 0 0 1 0 0
"92" 1.0710047 "2" 0.3807 0 1 1 0 0 1 0 0
"93" -0.0469159 "2" -11.6193 0 0 0 0 0 1 0 0
"94" 0.6717473 "2" -0.6193 0 1 1 0 0 1 0 0
"95" -0.6058762 "2" -2.6193 0 1 0 0 0 1 0 0
"96" -1.0849851 "2" -1.6193 0 1 1 0 0 1 0 0
"97" -0.5260247 "2" 20.3807 1 0 0 0 0 1 0 0
"98" 1.5501135 "2" 5.3807 0 1 1 0 0 1 0 0
"99" 0.2724899 "2" 5.3807 0 1 0 0 0 1 0 0
"100" 0.3523414 "2" 7.3807 1 0 1 0 0 1 0 0
"101" 2.1090738 "2" 20.3807 1 0 1 0 0 1 0 0
"102" -0.6058762 "2" -0.6193 0 1 1 0 0 1 0 0
"103" 1.0710047 "2" 9.3807 0 1 1 0 0 1 0 0
"104" 0.4321929 "2" 1.3807 0 1 0 0 0 1 0 0
"105" -1.1648365 "2" -10.6193 0 1 1 0 0 1 0 0
"106" -0.0469159 "2" -0.6193 1 0 1 0 0 1 0 0
"107" -1.244688 "2" -4.6193 0 1 1 0 0 1 0 0
"108" -0.1267674 "2" 1.3807 0 1 0 0 0 1 0 0
"109" -0.5260247 "2" -4.6193 0 1 0 0 0 1 0 0
"110" 2.0292223 "3" 16.3807 1 0 1 0 0 0 0 0
"111" 0.6717473 "3" -3.6193 0 1 0 0 0 0 0 0
"112" 0.5918958 "3" 8.3807 1 0 0 0 0 0 0 0
"113" -0.2066188 "3" 3.3807 0 1 0 0 0 0 0 0
"114" 1.470262 "3" 9.3807 0 1 1 0 0 0 0 0
"115" 0.4321929 "3" 3.3807 0 1 1 0 0 0 0 0
"116" -0.7655792 "3" 3.3807 0 1 0 0 0 0 0 0
"117" 0.5918958 "3" 1.3807 0 1 0 0 0 0 0 0
"118" -0.4461733 "3" 9.3807 1 0 0 0 0 0 0 0
"119" 0.0329355 "3" -2.6193 0 1 1 0 0 0 0 0
"120" 1.2307076 "3" 11.3807 0 1 1 0 0 0 0 0
"121" -0.7655792 "3" -24.6193 0 0 1 0 0 0 0 0
"122" 0.4321929 "3" 7.3807 1 0 0 0 0 0 0 0
"123" -0.7655792 "3" 10.3807 1 0 0 0 0 0 0 0
"124" 0.3523414 "3" -6.6193 0 1 1 0 0 0 0 0
"125" 0.5918958 "3" 27.3807 1 0 0 0 0 0 0 0
"126" -1.4043909 "3" -1.6193 0 0 1 0 0 0 0 0
"127" 1.7896679 "3" 18.3807 0 1 1 0 0 0 0 0
"128" -0.4461733 "3" -5.6193 0 1 1 0 0 0 0 0
"129" 0.0329355 "3" 6.3807 0 1 1 0 0 0 0 0
"130" 0.0329355 "3" -7.6193 0 1 1 0 0 0 0 0
"131" -0.3663218 "3" 12.3807 1 0 1 0 0 0 0 0
"132" -0.0469159 "3" -1.6193 0 1 0 0 0 0 0 0
"133" 1.470262 "3" 18.3807 1 0 1 0 0 0 0 0
"134" -0.5260247 "3" 7.3807 0 1 0 0 0 0 0 0
"135" 2.5881827 "3" 0.3807 1 0 1 0 0 0 0 0
"136" -0.0469159 "3" 17.3807 0 1 1 0 0 0 0 0
"137" 0.3523414 "3" 20.3807 1 0 1 0 0 0 0 0
"138" 1.629965 "3" 9.3807 1 0 1 0 0 0 0 0
"139" -1.3245395 "3" -10.6193 0 1 0 0 0 0 0 0
"140" -1.8834998 "3" -18.6193 0 1 1 0 0 0 0 0
